municipio,regiao,ano,tipo_crime,quantidade,fonte
Agudos do Sul,RGI de Curitiba,2024,Crimes de Lesão Corporal,55.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2018,Crimes de Roubo,19.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2019,Crimes de Roubo,13.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2020,Crimes de Roubo,15.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2021,Crimes de Roubo,18.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2022,Crimes de Roubo,4.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2023,Crimes de Roubo,6.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2024,Crimes de Roubo,3.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2018,Furtos de Veículos,5.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2019,Furtos de Veículos,6.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2020,Furtos de Veículos,5.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2021,Furtos de Veículos,12.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2022,Furtos de Veículos,2.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2023,Furtos de Veículos,6.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2024,Furtos de Veículos,1.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2018,Ocorrências Envolvendo Tráfico de Drogas,5.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2019,Ocorrências Envolvendo Tráfico de Drogas,2.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2020,Ocorrências Envolvendo Tráfico de Drogas,3.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2021,Ocorrências Envolvendo Tráfico de Drogas,4.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2022,Ocorrências Envolvendo Tráfico de Drogas,1.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2023,Ocorrências Envolvendo Tráfico de Drogas,2.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2024,Ocorrências Envolvendo Tráfico de Drogas,4.0,Crimes gerais
